       player_name       boss  party_size   score    norm_score
0        0x3b...dd  Sebastian           3  274893  91631.000000
1        0x3b...dd  Sebastian           3  273514  91171.333333
2        0x3b...dd  Sebastian           3  273373  91124.333333
3        0x3b...dd  Sebastian           3  273364  91121.333333
4        0x3b...dd  Sebastian           3  271844  90614.666667
5        0x3b...dd  Sebastian           3  263519  87839.666667
6        0x3b...dd  Sebastian           3  263073  87691.000000
7        0x3b...dd  Sebastian           3  260295  86765.000000
8        0x3b...dd  Sebastian           3  260289  86763.000000
9        0x3b...dd  Sebastian           3  245919  81973.000000
10       0x3b...dd  Sebastian           3  244249  81416.333333
11       0x3b...dd  Sebastian           3  242716  80905.333333
12       0x3b...dd  Sebastian           3  236661  78887.000000
13             Mao  Sebastian           5  334022  66804.400000
14             Mao  Sebastian           5  318723  63744.600000
15     AniMechanic  Sebastian           3  190713  63571.000000
16           Misko  Sebastian           5  314873  62974.600000
17           Misko  Sebastian           5  312978  62595.600000
18             Mao  Sebastian           5  310956  62191.200000
19     AniMechanic  Sebastian           3  185259  61753.000000
20     AniMechanic  Sebastian           3  184356  61452.000000
21    tommytoolman  Sebastian           5  306562  61312.400000
22           Misko  Sebastian           5  301886  60377.200000
23             Mao  Sebastian           5  301863  60372.600000
24    Ragingflames  Sebastian           5  301281  60256.200000
25             Mao  Sebastian           5  298729  59745.800000
26             Mao  Sebastian           5  295405  59081.000000
27    Ragingflames  Sebastian           5  293349  58669.800000
28    tommytoolman  Sebastian           5  291074  58214.800000
29    Ragingflames  Sebastian           5  291035  58207.000000
30    Ragingflames  Sebastian           5  289435  57887.000000
31           Misko  Sebastian           5  289376  57875.200000
32    Ragingflames  Sebastian           5  289062  57812.400000
33    Ragingflames  Sebastian           5  287461  57492.200000
34           Misko  Sebastian           5  283329  56665.800000
35           Misko  Sebastian           5  283197  56639.400000
36           Misko  Sebastian           5  282505  56501.000000
37    Ragingflames  Sebastian           5  282269  56453.800000
38           Misko  Sebastian           5  281500  56300.000000
39      joeldizzle  Sebastian           3  168410  56136.666667
40    Ragingflames  Sebastian           5  279533  55906.600000
41      joeldizzle  Sebastian           3  167118  55706.000000
42    Ragingflames  Sebastian           5  277821  55564.200000
43      joeldizzle  Sebastian           3  165973  55324.333333
44    tommytoolman  Sebastian           5  275165  55033.000000
45             s o  Sebastian           5  274540  54908.000000
46             Mao  Sebastian           5  273862  54772.400000
47    tommytoolman  Sebastian           5  273475  54695.000000
48           Misko  Sebastian           5  273049  54609.800000
49    Ragingflames  Sebastian           5  272480  54496.000000
50           Misko  Sebastian           5  271304  54260.800000
51    Ragingflames  Sebastian           5  269154  53830.800000
52    Ragingflames  Sebastian           5  269149  53829.800000
53    Ragingflames  Sebastian           5  267788  53557.600000
54      joeldizzle  Sebastian           3  160468  53489.333333
55             Mao  Sebastian           5  262099  52419.800000
56             Mao  Sebastian           5  261896  52379.200000
57           Misko  Sebastian           5  261779  52355.800000
58      joeldizzle  Sebastian           3  157001  52333.666667
59    Ragingflames  Sebastian           5  261541  52308.200000
60         Furlini  Sebastian           3  156537  52179.000000
61         Furlini  Sebastian           3  156497  52165.666667
62    Ragingflames  Sebastian           5  260419  52083.800000
63      joeldizzle  Sebastian           3  155566  51855.333333
64  fishermaaaaaan  Sebastian           5  259143  51828.600000
65  fishermaaaaaan  Sebastian           5  258423  51684.600000
66      joeldizzle  Sebastian           3  151994  50664.666667
67      kenshinrtk  Sebastian           5  252290  50458.000000
68  fishermaaaaaan  Sebastian           5  252127  50425.400000
69  fishermaaaaaan  Sebastian           5  251893  50378.600000
70    Ragingflames  Sebastian           5  251708  50341.600000
71      joeldizzle  Sebastian           3  148796  49598.666667
72             Mao  Sebastian           5  247355  49471.000000
73             Mao  Sebastian           5  247176  49435.200000
74             s o  Sebastian           5  243942  48788.400000
75  fishermaaaaaan  Sebastian           5  243740  48748.000000
76  fishermaaaaaan  Sebastian           5  242011  48402.200000
77           Misko  Sebastian           5  241440  48288.000000
78      joeldizzle  Sebastian           3  144721  48240.333333
79      joeldizzle  Sebastian           3  143274  47758.000000
80    Ragingflames  Sebastian           5  237092  47418.400000
81     AniMechanic  Sebastian           3  142141  47380.333333
82      kenshinrtk  Sebastian           5  235056  47011.200000
83      kenshinrtk  Sebastian           5  231917  46383.400000
84             s o  Sebastian           5  231601  46320.200000
85     AniMechanic  Sebastian           3  138382  46127.333333
86             Mao  Sebastian           5  230122  46024.400000
87      kenshinrtk  Sebastian           5  229822  45964.400000
88  fishermaaaaaan  Sebastian           5  229403  45880.600000
89      joeldizzle  Sebastian           3  137430  45810.000000
90  fishermaaaaaan  Sebastian           5  227980  45596.000000
91             s o  Sebastian           3  136464  45488.000000
92      kenshinrtk  Sebastian           5  227015  45403.000000
93      joeldizzle  Sebastian           3  135986  45328.666667
94      kenshinrtk  Sebastian           5  225363  45072.600000
95      joeldizzle  Sebastian           3  134389  44796.333333
96      kenshinrtk  Sebastian           5  222960  44592.000000
97      joeldizzle  Sebastian           3  133741  44580.333333
98  fishermaaaaaan  Sebastian           5  222453  44490.600000
99             s o  Sebastian           3  133031  44343.666667
