       player_name       boss  party_size   score    norm_score
0           nujiel  Skullumbo           3  275587  91862.333333
1           nujiel  Skullumbo           3  275255  91751.666667
2           nujiel  Skullumbo           3  260040  86680.000000
3           nujiel  Skullumbo           3  259975  86658.333333
4           nujiel  Skullumbo           3  259554  86518.000000
5           nujiel  Skullumbo           3  255661  85220.333333
6           nujiel  Skullumbo           3  249910  83303.333333
7           nujiel  Skullumbo           3  244933  81644.333333
8           nujiel  Skullumbo           3  244790  81596.666667
9           nujiel  Skullumbo           3  244673  81557.666667
10          nujiel  Skullumbo           3  233786  77928.666667
11          nujiel  Skullumbo           3  226435  75478.333333
12          nujiel  Skullumbo           3  221006  73668.666667
13         Furlini  Skullumbo           3  210640  70213.333333
14         Furlini  Skullumbo           3  202065  67355.000000
15     AniMechanic  Skullumbo           3  194472  64824.000000
16     AniMechanic  Skullumbo           3  190486  63495.333333
17  fishermaaaaaan  Skullumbo           5  314113  62822.600000
18     AniMechanic  Skullumbo           3  187291  62430.333333
19  fishermaaaaaan  Skullumbo           5  310422  62084.400000
20          tijiyi  Skullumbo           3  186120  62040.000000
21     AniMechanic  Skullumbo           3  185404  61801.333333
22  fishermaaaaaan  Skullumbo           5  308575  61715.000000
23          nujiel  Skullumbo           3  185032  61677.333333
24       0x3b...dd  Skullumbo           3  183147  61049.000000
25          tijiyi  Skullumbo           3  178522  59507.333333
26             s o  Skullumbo           3  177678  59226.000000
27             s o  Skullumbo           3  174080  58026.666667
28          nujiel  Skullumbo           3  173058  57686.000000
29  fishermaaaaaan  Skullumbo           5  287914  57582.800000
30          nujiel  Skullumbo           3  170026  56675.333333
31       0x3b...dd  Skullumbo           3  169515  56505.000000
32          tijiyi  Skullumbo           3  167492  55830.666667
33          tijiyi  Skullumbo           3  167330  55776.666667
34      joeldizzle  Skullumbo           3  165408  55136.000000
35  fishermaaaaaan  Skullumbo           5  269023  53804.600000
36         Furlini  Skullumbo           3  160116  53372.000000
37          tijiyi  Skullumbo           3  159185  53061.666667
38         Furlini  Skullumbo           3  158857  52952.333333
39         Furlini  Skullumbo           3  158439  52813.000000
40          tijiyi  Skullumbo           3  158338  52779.333333
41  fishermaaaaaan  Skullumbo           5  263878  52775.600000
42      joeldizzle  Skullumbo           3  157230  52410.000000
43             s o  Skullumbo           3  156787  52262.333333
44  fishermaaaaaan  Skullumbo           5  258939  51787.800000
45      joeldizzle  Skullumbo           3  155079  51693.000000
46      joeldizzle  Skullumbo           3  154468  51489.333333
47     AniMechanic  Skullumbo           3  154336  51445.333333
48         Furlini  Skullumbo           5  256640  51328.000000
49  fishermaaaaaan  Skullumbo           5  255293  51058.600000
50      joeldizzle  Skullumbo           3  153038  51012.666667
51          tijiyi  Skullumbo           3  152568  50856.000000
52         Furlini  Skullumbo           5  253750  50750.000000
53             s o  Skullumbo           3  151705  50568.333333
54  fishermaaaaaan  Skullumbo           5  252305  50461.000000
55       0x3b...dd  Skullumbo           3  151359  50453.000000
56      joeldizzle  Skullumbo           3  151137  50379.000000
57         Furlini  Skullumbo           5  251742  50348.400000
58          tijiyi  Skullumbo           3  151044  50348.000000
59         Furlini  Skullumbo           5  250749  50149.800000
60         JohnnyX  Skullumbo           5  250286  50057.200000
61         Furlini  Skullumbo           3  149789  49929.666667
62         JohnnyX  Skullumbo           5  248693  49738.600000
63         Furlini  Skullumbo           3  148869  49623.000000
64             s o  Skullumbo           3  148007  49335.666667
65          tijiyi  Skullumbo           3  147762  49254.000000
66      joeldizzle  Skullumbo           3  145975  48658.333333
67      joeldizzle  Skullumbo           3  145356  48452.000000
68         Furlini  Skullumbo           5  241562  48312.400000
69         JohnnyX  Skullumbo           5  241100  48220.000000
70  fishermaaaaaan  Skullumbo           5  240633  48126.600000
71         Furlini  Skullumbo           3  143959  47986.333333
72      joeldizzle  Skullumbo           3  143096  47698.666667
73      joeldizzle  Skullumbo           3  142717  47572.333333
74         Furlini  Skullumbo           5  237780  47556.000000
75      joeldizzle  Skullumbo           3  142343  47447.666667
76         JohnnyX  Skullumbo           5  235981  47196.200000
77      joeldizzle  Skullumbo           3  141144  47048.000000
78         JohnnyX  Skullumbo           5  234976  46995.200000
79      joeldizzle  Skullumbo           3  139734  46578.000000
80      joeldizzle  Skullumbo           3  139701  46567.000000
81  fishermaaaaaan  Skullumbo           5  230428  46085.600000
82         Furlini  Skullumbo           5  230311  46062.200000
83          tijiyi  Skullumbo           3  138004  46001.333333
84     AniMechanic  Skullumbo           3  137408  45802.666667
85      joeldizzle  Skullumbo           3  137143  45714.333333
86         Furlini  Skullumbo           5  228564  45712.800000
87      joeldizzle  Skullumbo           3  136427  45475.666667
88             s o  Skullumbo           3  136326  45442.000000
89             s o  Skullumbo           3  135356  45118.666667
90         JohnnyX  Skullumbo           5  224999  44999.800000
91         JohnnyX  Skullumbo           5  224743  44948.600000
92             Mao  Skullumbo           5  224734  44946.800000
93             s o  Skullumbo           3  134132  44710.666667
94      joeldizzle  Skullumbo           3  134049  44683.000000
95          tijiyi  Skullumbo           3  133843  44614.333333
96  fishermaaaaaan  Skullumbo           5  222201  44440.200000
97      joeldizzle  Skullumbo           3  133295  44431.666667
98     AniMechanic  Skullumbo           3  133124  44374.666667
99         JohnnyX  Skullumbo           5  220371  44074.200000
